No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,Time 2,Time 1,Delay 2,Delay 1,Jitter
363,19.56587919,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=71089 Win=42496 Len=0 TSval=2680708464 TSecr=316238689,,,,,,,,,,,,,19.56592355,19.56587919,4.97E-06,4.44E-05,-3.94E-05
364,19.56592355,192.168.1.1,192.168.1.2,TCP,8618,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=71089 Ack=1 Win=42496 Len=8552 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56592852,19.56592355,4.74E-06,4.97E-06,-2.32E-07
365,19.56592852,192.168.1.1,192.168.1.2,TCP,21786,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=79641 Ack=1 Win=42496 Len=21720 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56593326,19.56592852,0.000218641,4.74E-06,0.000213899
366,19.56593326,192.168.1.1,192.168.1.2,TCP,11650,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=101361 Ack=1 Win=42496 Len=11584 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.5661519,19.56593326,-0.000161401,0.000218641,-0.000380042
367,19.5661519,192.168.1.1,192.168.1.2,TCP,15994,"54384  >  5001 [PSH, ACK] Seq=172313 Ack=1 Win=42496 Len=15928 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.5659905,19.5661519,9.00E-06,-0.000161401,0.000170405
368,19.5659905,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=79641 Win=59392 Len=0 TSval=2680708464 TSecr=316238690,,,,,,,,,,,,,19.56599951,19.5659905,0.000162757,9.00E-06,0.000153753
369,19.56599951,192.168.1.1,192.168.1.2,TCP,10202,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=112945 Ack=1 Win=42496 Len=10136 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56616226,19.56599951,0.001398378,0.000162757,0.001235621
370,19.56616226,192.168.1.1,192.168.1.2,TCP,10202,"54384  >  5001 [PSH, ACK] Seq=188241 Ack=1 Win=42496 Len=10136 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56756064,19.56616226,-0.001555982,0.001398378,-0.00295436
371,19.56756064,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=198377 Win=158208 Len=0 TSval=2680708466 TSecr=316238690,,,,,,,,,,,,,19.56600466,19.56756064,3.69E-05,-0.001555982,0.001592884
372,19.56600466,192.168.1.1,192.168.1.2,TCP,14546,"[TCP Spurious Retransmission] 54384  >  5001 [PSH, ACK] Seq=123081 Ack=1 Win=42496 Len=14480 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56604156,19.56600466,0.001609089,3.69E-05,0.001572187
373,19.56604156,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=101361 Win=102912 Len=0 TSval=2680708464 TSecr=316238690,,,,,,,,,,,,,19.56765065,19.56604156,-0.001600706,0.001609089,-0.003209795
374,19.56765065,192.168.1.1,192.168.1.2,TCP,11650,"54384  >  5001 [PSH, ACK] Seq=198377 Ack=1 Win=42496 Len=11584 TSval=316238692 TSecr=2680708466",,,,,,,,,,,,,19.56604994,19.56765065,1.97E-05,-0.001600706,0.001620356
